Survived,Sex,Age,SibSp,Parch,Fare,Pclass,deck,Embarked,alone
0,male,35,0,0,8.05,2,unknown,Southampton,y
0,male,54,0,0,51.8625,1,E,Southampton,y
1,female,58,0,0,26.55,1,C,Southampton,y
1,female,55,0,0,16,2,unknown,Southampton,y
1,male,34,0,0,13,2,D,Southampton,y
1,female,15,0,0,8.0292,2,unknown,Queenstown,y
0,female,8,3,1,21.075,2,unknown,Southampton,n
0,male,21,0,0,8.05,2,unknown,Southampton,y
0,female,18,2,0,18,2,unknown,Southampton,n
1,female,19,0,0,7.8792,2,unknown,Queenstown,y
1,female,28,0,0,7.75,2,unknown,Queenstown,y
0,male,21,0,0,7.8,2,unknown,Southampton,y
1,female,5,1,2,27.75,2,unknown,Southampton,n
0,male,28,0,0,27.7208,1,unknown,Cherbourg,y
1,female,29,0,0,10.5,2,F,Southampton,y
0,female,16,5,2,46.9,2,unknown,Southampton,n
0,male,26,1,0,14.4542,2,unknown,Cherbourg,n
1,female,17,0,0,10.5,2,unknown,Southampton,y
1,female,33,3,0,15.85,2,unknown,Southampton,n
0,male,29,0,0,8.05,2,unknown,Southampton,y
0,male,20,0,0,7.8542,2,unknown,Southampton,y
0,male,26,1,2,20.575,2,unknown,Southampton,n
1,female,21,0,0,7.65,2,unknown,Southampton,y
0,male,38,0,0,7.8958,2,unknown,Southampton,y
0,female,20,1,0,9.825,2,unknown,Southampton,n
0,female,2,4,2,31.275,2,unknown,Southampton,n
0,male,21,2,0,73.5,2,unknown,Southampton,n
0,male,54,0,1,77.2875,1,D,Southampton,n
1,male,12,1,0,11.2417,2,unknown,Cherbourg,n
1,female,28,1,1,22.3583,2,F,Cherbourg,n
0,male,33,0,0,7.8958,2,unknown,Cherbourg,y
1,female,29,1,0,26,2,unknown,Southampton,n
0,male,25,0,0,13,2,unknown,Southampton,y
1,female,24,1,0,15.85,2,unknown,Southampton,n
0,male,19,1,1,36.75,2,unknown,Southampton,n
1,male,27,0,0,7.7958,2,unknown,Southampton,y
0,male,36.5,0,2,26,2,F,Southampton,n
0,male,42,0,0,13,2,unknown,Southampton,y
1,female,22,1,0,66.6,1,C,Southampton,n
0,male,30,0,0,8.05,2,unknown,Southampton,y
1,female,40,0,0,15.75,2,unknown,Southampton,y
1,male,9,0,2,20.525,2,unknown,Southampton,n
0,female,45,1,4,27.9,2,unknown,Southampton,n
0,male,28,0,0,25.925,1,unknown,Southampton,y
0,male,61,0,0,33.5,1,B,Southampton,y
1,female,1,1,1,11.1333,2,unknown,Southampton,n
0,male,21,0,0,7.925,2,unknown,Southampton,y
0,male,56,0,0,30.6958,1,A,Cherbourg,y
1,male,1,2,1,39,2,F,Southampton,n
0,male,28,0,0,50,1,A,Southampton,y
0,male,40,1,1,15.5,2,unknown,Queenstown,n
0,male,19,0,0,13,2,unknown,Southampton,y
0,male,42,0,1,8.4042,2,unknown,Southampton,n
0,male,45.5,0,0,7.225,2,unknown,Cherbourg,y
1,male,18,0,0,8.05,2,unknown,Southampton,y
0,male,24,0,0,7.05,2,unknown,Southampton,y
0,male,30,0,0,13,2,unknown,Southampton,y
1,female,32,0,0,76.2917,1,D,Cherbourg,y
0,male,27,0,0,13,2,unknown,Southampton,y
0,male,28,0,0,7.8958,2,unknown,Southampton,y
1,male,38,1,0,90,1,C,Southampton,n
1,female,5,4,2,31.3875,2,unknown,Southampton,n
0,male,24,0,0,10.5,2,unknown,Southampton,y
1,female,8,0,2,26.25,2,unknown,Southampton,n
0,male,29,0,0,10.5,2,unknown,Southampton,y
0,female,25,0,0,7.775,2,unknown,Southampton,y
1,male,37,1,1,52.5542,1,D,Southampton,n
0,male,54,1,0,26,2,unknown,Southampton,n
0,male,62,0,0,26.55,1,C,Southampton,y
1,female,29,0,2,15.2458,2,unknown,Cherbourg,n
1,female,30,0,0,86.5,1,B,Southampton,y
0,male,52,1,1,79.65,1,E,Southampton,n
0,male,65,0,0,7.75,2,unknown,Queenstown,y
1,male,19,0,0,8.05,2,unknown,Southampton,y
0,male,33,0,0,8.6625,2,unknown,Cherbourg,y
1,male,30,0,0,9.5,2,unknown,Southampton,y
0,male,22,0,0,7.8958,2,unknown,Southampton,y
1,male,42,0,0,13,2,unknown,Southampton,y
1,female,22,0,0,7.75,2,unknown,Queenstown,y
1,female,19,1,0,91.0792,1,B,Cherbourg,n
0,female,24,0,0,8.85,2,unknown,Southampton,y
0,male,28,0,0,27.7208,1,unknown,Cherbourg,y
0,male,23.5,0,0,7.2292,2,unknown,Cherbourg,y
0,female,2,1,2,151.55,1,C,Southampton,n
1,male,28,2,0,23.25,2,unknown,Queenstown,n
1,male,0.92,1,2,151.55,1,C,Southampton,n
1,female,26,0,0,7.8542,2,unknown,Southampton,y
0,male,54,0,0,14,2,unknown,Southampton,y
1,female,30,0,0,12.35,2,unknown,Queenstown,y
1,female,36,0,0,13,2,D,Southampton,y
1,female,16,0,1,57.9792,1,B,Cherbourg,n
0,male,45.5,0,0,28.5,1,C,Southampton,y
0,male,16,2,0,18,2,unknown,Southampton,n
1,female,41,0,0,134.5,1,E,Cherbourg,y
1,male,2,1,1,26,2,F,Southampton,n
1,female,24,3,2,263,1,C,Southampton,n
1,male,3,1,1,15.9,2,unknown,Southampton,n
0,male,42,0,0,8.6625,2,unknown,Southampton,y
0,male,23,0,0,9.225,2,unknown,Southampton,y
0,male,28,0,0,35,1,C,Southampton,y
0,male,30,0,0,7.25,2,unknown,Southampton,y
1,male,25,1,0,55.4417,1,E,Cherbourg,n
0,male,22,0,0,135.6333,1,unknown,Cherbourg,y
0,female,3,3,1,21.075,2,unknown,Southampton,n
1,female,22,0,0,7.25,2,unknown,Southampton,y
0,male,20,0,0,4.0125,2,unknown,Cherbourg,y
1,female,1,0,2,15.7417,2,unknown,Cherbourg,n
1,female,35,1,0,52,1,unknown,Southampton,n
1,female,36,0,0,13,2,unknown,Southampton,y
0,male,28,2,0,7.925,2,unknown,Southampton,n
1,female,28,0,0,12.65,2,unknown,Southampton,y
0,female,21,1,0,9.825,2,unknown,Southampton,n
0,female,20,0,0,8.6625,2,unknown,Southampton,y
0,male,51,0,0,7.75,2,unknown,Southampton,y
1,female,33,1,0,90,1,C,Queenstown,n
0,female,10,0,2,24.15,2,unknown,Southampton,n
0,male,29,0,0,7.875,2,unknown,Southampton,y
0,female,28,1,1,14.4,2,unknown,Southampton,n
0,male,28,0,0,7.25,2,unknown,Southampton,y
1,female,28,1,0,26,2,unknown,Southampton,n
0,female,21,2,2,34.375,2,unknown,Southampton,n
0,male,25,1,0,7.775,2,unknown,Southampton,n
1,male,4,0,2,81.8583,1,A,Southampton,n
1,female,13,0,1,19.5,2,unknown,Southampton,n
0,male,28,1,0,19.9667,2,unknown,Southampton,n
0,male,28,0,0,8.05,2,unknown,Southampton,y
1,female,50,0,0,10.5,2,unknown,Southampton,y
0,male,28,0,0,7.75,2,unknown,Queenstown,y
0,male,48,0,0,13,2,unknown,Southampton,y
0,male,28,0,0,0,2,unknown,Southampton,y
0,male,38,0,0,8.6625,2,unknown,Southampton,y
0,female,22,0,0,9.8375,2,unknown,Southampton,y
0,male,22,0,0,7.5208,2,unknown,Southampton,y
0,male,50,0,0,8.05,2,unknown,Southampton,y
0,male,30,0,0,8.05,2,unknown,Southampton,y
0,male,21,0,0,7.25,2,unknown,Southampton,y
0,male,55,0,0,30.5,1,C,Southampton,y
0,male,28,0,0,14.4583,2,unknown,Cherbourg,y
1,female,54,1,0,78.2667,1,D,Cherbourg,n
0,male,28,0,0,15.1,2,unknown,Southampton,y
0,male,24,0,0,7.7958,2,unknown,Southampton,y
0,female,28,0,0,7.6292,2,unknown,Queenstown,y
1,female,16,0,0,86.5,1,B,Southampton,y
0,male,28,0,0,22.525,2,unknown,Southampton,y
1,male,29,0,0,7.75,2,unknown,Queenstown,y
0,male,28,0,0,8.05,2,unknown,Southampton,y
1,male,36,0,0,26.2875,1,E,Southampton,y
0,male,28,0,0,24.15,2,unknown,Queenstown,y
0,male,28,0,0,7.225,2,unknown,Cherbourg,y
0,male,39,0,0,7.925,2,unknown,Southampton,y
0,male,28,0,0,7.2292,2,unknown,Cherbourg,y
0,male,28,0,0,14.5,2,unknown,Southampton,y
1,male,32,1,0,26,2,unknown,Southampton,n
0,male,64,0,0,26,1,unknown,Southampton,y
1,male,8,1,1,36.75,2,unknown,Southampton,n
1,male,22,0,0,7.225,2,unknown,Cherbourg,y
0,male,62,0,0,26.55,1,unknown,Southampton,y
0,male,28,0,0,13.5,2,unknown,Southampton,y
0,female,28,0,0,8.05,2,unknown,Southampton,y
0,male,28,0,0,7.2292,2,unknown,Cherbourg,y
1,female,28,0,0,7.75,2,unknown,Queenstown,y
0,male,19,0,0,14.5,2,unknown,Southampton,y
1,female,39,1,0,55.9,1,E,Southampton,n
0,female,28,1,0,14.4583,2,unknown,Cherbourg,n
1,male,32,0,0,7.925,2,unknown,Southampton,y
1,female,39,1,1,110.8833,1,C,Cherbourg,n
0,male,54,0,0,26,2,unknown,Southampton,y
0,male,28,0,0,8.7125,2,unknown,Cherbourg,y
1,female,18,0,2,79.65,1,E,Southampton,n
0,male,22,0,0,8.05,2,unknown,Southampton,y
1,female,24,2,1,27,2,unknown,Southampton,n
0,male,28,0,0,7.8958,2,unknown,Southampton,y
0,male,28,0,0,42.4,1,unknown,Southampton,y
0,male,44,0,0,8.05,2,unknown,Southampton,y
0,male,28,0,0,7.75,2,unknown,Queenstown,y
0,female,26,1,0,16.1,2,unknown,Southampton,n
1,female,4,2,1,39,2,F,Southampton,n
0,male,27,1,0,14.4542,2,unknown,Cherbourg,n
1,male,42,1,0,52.5542,1,D,Southampton,n
0,male,21,0,0,7.8542,2,unknown,Southampton,y
0,male,21,0,0,16.1,2,unknown,Southampton,y
0,male,28,0,0,0,1,unknown,Southampton,y
0,male,31,1,1,26.25,2,unknown,Southampton,n
1,female,24,0,0,69.3,1,B,Cherbourg,y
0,female,2,3,2,27.9,2,unknown,Southampton,n
0,male,19,0,0,7.8958,2,unknown,Southampton,y
1,male,56,0,0,35.5,1,A,Cherbourg,y
1,female,28,0,0,7.8292,2,unknown,Queenstown,y
0,female,18,0,0,6.75,2,unknown,Queenstown,y
0,male,23,0,0,13,2,unknown,Southampton,y
0,male,58,0,2,113.275,1,D,Cherbourg,n
0,male,40,0,0,7.225,2,unknown,Cherbourg,y
0,male,32,2,0,73.5,2,unknown,Southampton,n
1,female,28,1,0,52,1,C,Southampton,n
0,male,70,0,0,10.5,2,unknown,Southampton,y
0,male,24.5,0,0,8.05,2,unknown,Southampton,y
0,female,43,1,6,46.9,2,unknown,Southampton,n
0,female,28,0,0,8.1375,2,unknown,Queenstown,y
0,male,25,1,2,41.5792,2,unknown,Cherbourg,n
0,male,14,4,1,39.6875,2,unknown,Southampton,n
0,male,25,0,0,7.225,2,unknown,Cherbourg,y
0,male,52,0,0,13.5,2,unknown,Southampton,y
0,male,44,0,0,8.05,2,unknown,Southampton,y
0,male,42,0,0,7.65,2,F,Southampton,y
1,female,18,1,0,227.525,1,C,Cherbourg,n
0,female,18,0,1,14.4542,2,unknown,Cherbourg,n
0,male,26,1,0,7.8542,2,unknown,Southampton,n
1,female,45,0,0,13.5,2,unknown,Southampton,y
1,male,42,0,0,26.2875,1,E,Southampton,y
0,male,52,0,0,13,2,unknown,Southampton,y
0,male,17,1,0,7.0542,2,unknown,Southampton,n
0,male,34,0,0,13,2,unknown,Southampton,y
0,male,20,0,0,8.6625,2,unknown,Southampton,y
1,female,28,0,0,7.7375,2,unknown,Queenstown,y
0,male,28.5,0,0,16.1,2,unknown,Southampton,y
0,female,48,1,3,34.375,2,unknown,Southampton,n
1,male,28,0,0,30,1,D,Southampton,y
1,male,31,0,0,7.925,2,unknown,Southampton,y
0,male,16,1,1,20.25,2,unknown,Southampton,n
1,female,30,0,0,13,2,unknown,Southampton,y
0,male,19,1,0,53.1,1,D,Southampton,n
0,male,31,0,0,7.75,2,unknown,Queenstown,y
1,male,0.67,1,1,14.5,2,unknown,Southampton,n
0,male,18,0,0,11.5,2,unknown,Southampton,y
1,female,33,0,0,86.5,1,B,Southampton,y
1,female,36,1,2,120,1,B,Southampton,n
0,male,16,0,0,7.775,2,unknown,Southampton,y
0,female,30.5,0,0,7.75,2,unknown,Queenstown,y
0,male,24,0,0,9.5,2,unknown,Southampton,y
0,male,28,0,0,7.225,2,unknown,Cherbourg,y
1,female,54,1,3,23,2,unknown,Southampton,n
0,male,28,0,0,7.7375,2,unknown,Queenstown,y
1,female,43,0,1,211.3375,1,B,Southampton,n
1,female,13,0,0,7.2292,2,unknown,Cherbourg,y
0,male,25,0,0,7.25,2,unknown,Southampton,y
1,female,18,0,0,7.4958,2,unknown,Southampton,y
0,male,8,4,1,29.125,2,unknown,Queenstown,n
1,male,0.42,0,1,8.5167,2,unknown,Cherbourg,n
1,male,27,0,0,6.975,2,unknown,Southampton,y
0,female,18,0,0,7.775,2,unknown,Southampton,y
0,female,6,4,2,31.275,2,unknown,Southampton,n
0,male,43,0,0,6.45,2,unknown,Southampton,y
0,male,38,0,0,0,1,unknown,Southampton,y
1,female,27,0,1,12.475,2,E,Southampton,n
1,male,1,0,2,37.0042,2,unknown,Cherbourg,n
1,female,62,0,0,80,1,B,unknown,y
1,male,0.83,1,1,18.75,2,unknown,Southampton,n
1,male,32,0,0,56.4958,2,unknown,Southampton,y
0,male,20,0,0,7.925,2,unknown,Southampton,y
0,male,17,0,0,8.6625,2,unknown,Southampton,y
0,male,74,0,0,7.775,2,unknown,Southampton,y
0,female,9,1,1,15.2458,2,unknown,Cherbourg,n
0,female,44,1,0,26,2,unknown,Southampton,n
0,male,28,0,0,7.2292,2,unknown,Cherbourg,y
0,male,21,1,0,11.5,2,unknown,Southampton,n
1,female,48,0,0,25.9292,1,D,Southampton,y
0,female,28,8,2,69.55,2,unknown,Southampton,n
0,male,28,0,0,9.5,2,unknown,Southampton,y
1,female,56,0,1,83.1583,1,C,Cherbourg,n
1,female,25,0,1,26,2,unknown,Southampton,n
0,male,33,0,0,7.8958,2,unknown,Southampton,y
0,female,39,0,5,29.125,2,unknown,Queenstown,n
0,male,27,0,0,13,2,unknown,Southampton,y
1,male,26,0,0,30,1,C,Cherbourg,y
